batch_size | beta | epoch | initializer | rbf_neurons,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_betas,param_epochs,param_initializer,param_rbf_neurons,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
16_1.0_20_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_10,90.8702925046285,0.6448639514708062,1.072287956873576,0.21730717074083936,16,1.0,20,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,10,"{'batch_size': 16, 'betas': 1.0, 'epochs': 20, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 10}",0.5498999953269958,0.6165000200271606,0.3025999963283539,0.4896666705608368,0.13504158934396732,108
64_2.0_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,176.78305665651956,1.9870722524010875,0.711151917775472,0.009255533473724766,64,2.0,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 64, 'betas': 2.0, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.5836499929428101,0.4350999891757965,0.4491499960422516,0.48929999272028607,0.06696164364634215,109
32_1.0_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_10,163.77808666229248,18.639130768994065,0.7994619210561117,0.041602298936121405,32,1.0,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,10,"{'batch_size': 32, 'betas': 1.0, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 10}",0.4699000120162964,0.4812000095844269,0.4797999858856201,0.47696666916211444,0.005029463125868829,110
16_1.0_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_10,177.89620288213095,9.501877984783983,1.0810075600941975,0.2398248541230085,16,1.0,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,10,"{'batch_size': 16, 'betas': 1.0, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 10}",0.32545000314712524,0.5672000050544739,0.49070000648498535,0.4611166715621948,0.10088655719640836,111
16_2.0_10_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,58.674219369888306,0.8938733559546327,1.6808106104532878,0.011793518290198934,16,2.0,10,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 16, 'betas': 2.0, 'epochs': 10, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.3801499903202057,0.565500020980835,0.43114998936653137,0.45893333355585736,0.07817755060216441,112
32_2.0_20_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,113.68319249153137,1.4269530254094778,1.5663057963053386,0.03386188420660896,32,2.0,20,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 32, 'betas': 2.0, 'epochs': 20, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.5741999745368958,0.40674999356269836,0.39035001397132874,0.45709999402364093,0.08307243389477574,113
32_2.0_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_10,109.45292393366496,23.251843228173385,0.7023292382558187,0.032372275380294864,32,2.0,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,10,"{'batch_size': 32, 'betas': 2.0, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 10}",0.6420000195503235,0.4104999899864197,0.30709999799728394,0.45320000251134235,0.1400166047564312,114
64_1.0_10_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,73.65021109580994,0.3531686330169293,1.9574131965637207,0.034775321466127745,64,1.0,10,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 64, 'betas': 1.0, 'epochs': 10, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.4466499984264374,0.37244999408721924,0.5331000089645386,0.45073333382606506,0.06564862040190497,115
32_1.0_20_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_10,56.536870876948036,18.259737711076042,0.7428137461344401,0.04657703575336741,32,1.0,20,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,10,"{'batch_size': 32, 'betas': 1.0, 'epochs': 20, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 10}",0.2765499949455261,0.5845500230789185,0.4878000020980835,0.4496333400408427,0.12860410802662653,116
64_1.0_10_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_20,24.443813959757488,2.44204513516358,0.7432371775309244,0.05786739743969601,64,1.0,10,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,20,"{'batch_size': 64, 'betas': 1.0, 'epochs': 10, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 20}",0.42899999022483826,0.5217499732971191,0.34850001335144043,0.43308332562446594,0.0707879103439008,117
16_1.0_10_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_10,77.74516495068868,9.32312273445568,0.9186402161916097,0.016200566789251525,16,1.0,10,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,10,"{'batch_size': 16, 'betas': 1.0, 'epochs': 10, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 10}",0.4311000108718872,0.4608500003814697,0.3922500014305115,0.4280666708946228,0.028087848233487273,118
64_1.0_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_10,113.82490563392639,5.057826936511265,0.6035017172495524,0.1065339589806907,64,1.0,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,10,"{'batch_size': 64, 'betas': 1.0, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 10}",0.40595000982284546,0.4318000078201294,0.4374000132083893,0.425050010283788,0.013697871569289885,119
64_1.0_10_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,80.17678491274516,2.438820385818218,0.7433966000874838,0.03147630147116643,64,1.0,10,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 64, 'betas': 1.0, 'epochs': 10, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.39544999599456787,0.38600000739097595,0.49105000495910645,0.42416666944821674,0.04745075340426593,120
32_1.0_10_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_20,29.486531972885132,0.3397195305516265,1.2377248605092366,0.22715574100527902,32,1.0,10,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,20,"{'batch_size': 32, 'betas': 1.0, 'epochs': 10, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 20}",0.36390000581741333,0.5547500252723694,0.33709999918937683,0.41858334342638653,0.09690402132187133,121
32_1.0_20_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_10,91.99474326769511,0.8235098276261921,0.7863325277964274,0.028821931412667617,32,1.0,20,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,10,"{'batch_size': 32, 'betas': 1.0, 'epochs': 20, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 10}",0.4012500047683716,0.39594998955726624,0.4000000059604645,0.3990666667620341,0.0022621349582465987,122
